temperature,city,pression,date
279.96,London,1011,2023-02-24_11:22
281.57,Paris,1011,2023-02-24_11:22
259.75,Washington,1026,2023-02-24_11:22
279.96,London,1011,2023-02-24_11:14
280.77,Paris,1011,2023-02-24_11:14
259.76,Washington,1026,2023-02-24_11:14
279.75,London,1012,2023-02-24_11:09
280.77,Paris,1011,2023-02-24_11:09
259.76,Washington,1026,2023-02-24_11:09
279.75,London,1012,2023-02-24_11:08
280.77,Paris,1011,2023-02-24_11:08
259.76,Washington,1026,2023-02-24_11:08
279.75,London,1012,2023-02-24_11:07
280.77,Paris,1011,2023-02-24_11:07
259.76,Washington,1026,2023-02-24_11:07
279.75,London,1012,2023-02-24_11:05
280.77,Paris,1011,2023-02-24_11:05
259.76,Washington,1026,2023-02-24_11:05
279.55,London,1011,2023-02-24_10:59
280.75,Paris,1011,2023-02-24_10:59
259.99,Washington,1026,2023-02-24_10:59
279.55,London,1011,2023-02-24_10:57
280.75,Paris,1011,2023-02-24_10:57
259.99,Washington,1026,2023-02-24_10:57
279.55,London,1011,2023-02-24_10:54
280.75,Paris,1011,2023-02-24_10:54
259.99,Washington,1026,2023-02-24_10:54
281.21,London,1018,2023-02-23_14:42
283.09,Paris,1014,2023-02-23_14:42
262.53,Washington,1017,2023-02-23_14:42
281.21,London,1018,2023-02-23_14:41
283.09,Paris,1014,2023-02-23_14:41
262.53,Washington,1017,2023-02-23_14:41
281.21,London,1018,2023-02-23_14:24
283.16,Paris,1014,2023-02-23_14:24
262.58,Washington,1017,2023-02-23_14:24
281.21,London,1018,2023-02-23_14:23
283.16,Paris,1014,2023-02-23_14:23
262.58,Washington,1017,2023-02-23_14:23
281.31,London,1018,2023-02-23_14:22
283.16,Paris,1014,2023-02-23_14:22
262.68,Washington,1017,2023-02-23_14:22
281.31,London,1018,2023-02-23_14:21
283.16,Paris,1014,2023-02-23_14:21
262.68,Washington,1017,2023-02-23_14:21
281.31,London,1018,2023-02-23_14:20
283.16,Paris,1014,2023-02-23_14:20
262.68,Washington,1017,2023-02-23_14:20
281.31,London,1018,2023-02-23_14:18
283.15,Paris,1014,2023-02-23_14:18
262.68,Washington,1017,2023-02-23_14:18
281.31,London,1018,2023-02-23_14:17
283.15,Paris,1014,2023-02-23_14:17
262.68,Washington,1017,2023-02-23_14:17
281.31,London,1018,2023-02-23_14:16
283.15,Paris,1014,2023-02-23_14:16
262.68,Washington,1017,2023-02-23_14:16
281.31,London,1018,2023-02-23_14:13
283.15,Paris,1014,2023-02-23_14:13
262.68,Washington,1017,2023-02-23_14:13
